,tno,updatetime,tilt_01,tilt_02,tilt_03,tilt_04,tilt_05,tilt_06,tilt_07,batt,temp
38,76,2023-04-01 01:34:00,-18.25856857,21.10221662,-36.82852964,-58.36789677,106.2380377,-126.8353888,-97.6003814,12.14,29.5
39,78,2023-04-01 01:36:00,-18.25856857,21.10221662,-35.42870366,-58.36789677,106.2380377,-126.8353888,-97.6003814,12.14,29.5
40,80,2023-04-01 01:38:00,-19.86245461,21.56673699,-35.42870366,-57.33635808,106.2380377,-127.8555014,-97.6003814,12.14,29.5
41,81,2023-04-01 01:40:00,-19.86245461,21.8992287,-33.3632935,-57.33635808,106.2380377,-127.8555014,-97.6003814,12.14,29.5
42,83,2023-04-01 01:42:00,-19.86245461,21.8992287,-33.3632935,-58.36789677,105.6007566,-128.1427956,-97.6003814,12.14,29.5
43,85,2023-04-01 01:44:00,-20.45254963,21.8992287,-35.42870366,-58.36789677,105.6007566,-128.4229402,-99.9065481,12.14,29.5
44,87,2023-04-01 01:46:00,-22.15593066,21.8992287,-38.71291394,-61.02116939,105.6007566,-128.1427956,-99.9065481,12.14,29.5
45,89,2023-04-01 01:48:00,-22.15593066,21.8992287,-38.71291394,-61.02116939,107.771506,-128.1427956,-97.21835797,12.14,29.25
46,91,2023-04-01 01:50:00,-20.45254963,21.10221662,-38.71291394,-61.02116939,110.8034316,-128.1427956,-97.6003814,12.14,29.25
47,93,2023-04-01 01:52:00,-22.15593066,21.41585715,-38.71291394,-61.02116939,111.6548411,-128.1427956,-97.21835797,12.14,29.5
48,95,2023-04-01 01:54:00,-20.45254963,21.41585715,-38.71291394,-58.36789677,111.6548411,-128.1427956,-97.6003814,12.14,29.5
49,97,2023-04-01 01:56:00,-19.86245461,21.41585715,-36.82852964,-58.36789677,110.8034316,-128.1427956,-97.6003814,12.14,29.5
50,100,2023-04-01 02:00:00,-20.45254963,21.41585715,-35.42870366,-58.36789677,108.4859652,-128.1427956,-97.6003814,12.14,29.5
51,102,2023-04-01 02:02:00,-22.15593066,21.41585715,-36.82852964,-57.33635808,110.8034316,-128.1427956,-97.6003814,12.14,29.5
52,104,2023-04-01 02:04:00,-20.45254963,20.55214805,-35.42870366,-55.61749861,111.6548411,-126.8353888,-97.6003814,12.14,29.5
53,106,2023-04-01 02:06:00,-20.45254963,20.55214805,-35.42870366,-55.61749861,111.6548411,-128.1427956,-97.6003814,12.14,29.5
54,108,2023-04-01 02:08:00,-20.45254963,21.41585715,-35.42870366,-57.33635808,111.6548411,-128.1427956,-97.6003814,12.14,29.5
55,110,2023-04-01 02:10:00,-20.45254963,20.55214805,-36.82852964,-58.36789677,109.2580133,-128.1427956,-97.6003814,12.14,29.5
56,112,2023-04-01 02:12:00,-22.86215911,20.55214805,-38.71291394,-60.02366379,111.6548411,-128.1427956,-100.4255426,12.14,29.5
57,114,2023-04-01 02:14:00,-22.15593066,20.55214805,-38.71291394,-60.02366379,111.6548411,-128.1427956,-100.4255426,12.14,29.5
58,116,2023-04-01 02:16:00,-20.45254963,21.41585715,-38.71291394,-60.02366379,111.6548411,-128.1427956,-97.6003814,12.14,29.25
59,118,2023-04-01 02:18:00,-20.45254963,21.41585715,-38.71291394,-60.02366379,108.4859652,-128.1427956,-97.6003814,12.14,29.5
60,120,2023-04-01 02:20:00,-22.86215911,20.55214805,-36.82852964,-62.79698193,109.2580133,-128.1427956,-97.6003814,12.14,29.25
61,122,2023-04-01 02:22:00,-22.86215911,21.41585715,-36.82852964,-62.79698193,111.6548411,-128.1427956,-97.6003814,12.14,29.25
62,124,2023-04-01 02:24:00,-22.86215911,21.41585715,-36.82852964,-60.02366379,111.6548411,-128.1427956,-100.4255426,12.14,29.25
63,126,2023-04-01 02:26:00,-21.11501713,21.41585715,-36.82852964,-60.02366379,111.6548411,-128.1427956,-100.4255426,12.14,29.25
64,128,2023-04-01 02:28:00,-22.15593066,20.55214805,-36.82852964,-58.36789677,108.4859652,-128.1427956,-100.4255426,12.14,29.5
65,130,2023-04-01 02:30:00,-22.86215911,20.55214805,-36.82852964,-58.36789677,111.6548411,-128.1427956,-100.4255426,12.14,29.25
66,132,2023-04-01 02:32:00,-22.15593066,20.55214805,-36.82852964,-58.36789677,108.4859652,-128.1427956,-97.6003814,12.14,29.25
67,134,2023-04-01 02:34:00,-22.86215911,20.55214805,-38.71291394,-57.33635808,110.8034316,-127.0995252,-99.9065481,12.14,29.25
68,136,2023-04-01 02:36:00,-22.15593066,20.55214805,-38.71291394,-58.36789677,111.6548411,-129.4778359,-97.21835797,12.14,29.25
69,138,2023-04-01 02:38:00,-22.15593066,21.41585715,-35.42870366,-58.36789677,110.8034316,-128.1427956,-99.9065481,12.14,29.25
70,140,2023-04-01 02:40:00,-22.86215911,21.10221662,-35.42870366,-60.02366379,113.8478614,-128.1427956,-97.21835797,12.14,29.25
71,142,2023-04-01 02:42:00,-22.15593066,21.10221662,-35.42870366,-60.02366379,113.8478614,-128.1427956,-97.21835797,12.14,29.25
72,144,2023-04-01 02:44:00,-20.45254963,21.10221662,-35.42870366,-57.33635808,111.6548411,-128.1427956,-100.4255426,12.14,29.25
73,146,2023-04-01 02:46:00,-20.45254963,21.10221662,-36.82852964,-55.61749861,114.8995383,-128.1427956,-100.4255426,12.14,29.25
74,148,2023-04-01 02:48:00,-21.11501713,21.10221662,-36.82852964,-57.33635808,111.6548411,-128.1427956,-100.4255426,12.14,29.25
75,150,2023-04-01 02:50:00,-20.45254963,21.10221662,-38.71291394,-57.33635808,113.8478614,-128.1427956,-97.21835797,12.14,29.25
76,152,2023-04-01 02:52:00,-22.15593066,21.10221662,-38.71291394,-57.33635808,113.8478614,-128.1427956,-100.4255426,12.14,29.25
77,154,2023-04-01 02:54:00,-22.15593066,21.10221662,-36.82852964,-55.61749861,111.6548411,-128.1427956,-99.9065481,12.14,29.25
78,156,2023-04-01 02:56:00,-22.15593066,21.41585715,-36.82852964,-58.36789677,108.4859652,-128.1427956,-97.21835797,12.14,29.25
79,158,2023-04-01 02:58:00,-22.86215911,20.88284761,-38.71291394,-62.79698193,108.4859652,-128.1427956,-97.21835797,12.14,29.25
80,160,2023-04-01 03:00:00,-22.86215911,20.88284761,-38.71291394,-63.64789181,108.4859652,-127.0995252,-97.21835797,12.14,29.25
81,162,2023-04-01 03:02:00,-22.15593066,20.55214805,-40.23340693,-63.64789181,108.4859652,-128.4229402,-99.9065481,12.14,29.25
82,164,2023-04-01 03:04:00,-22.15593066,21.41585715,-38.71291394,-63.64789181,110.8034316,-127.0995252,-101.9936801,12.14,29.25
83,166,2023-04-01 03:06:00,-22.15593066,20.55214805,-38.71291394,-63.64789181,111.6548411,-128.1427956,-101.9936801,12.14,29.25
84,168,2023-04-01 03:08:00,-22.15593066,20.55214805,-36.82852964,-63.64789181,111.6548411,-128.1427956,-99.46128894,12.15,29.25
85,170,2023-04-01 03:10:00,-22.15593066,21.41585715,-38.71291394,-63.64789181,113.8478614,-126.8353888,-99.46128894,12.14,29.25
86,172,2023-04-01 03:12:00,-22.15593066,20.55214805,-38.71291394,-63.64789181,113.8478614,-126.8353888,-99.46128894,12.14,29.25
87,174,2023-04-01 03:14:00,-22.15593066,20.55214805,-42.14223538,-66.14794207,111.6548411,-128.1427956,-99.46128894,12.14,29.25
88,176,2023-04-01 03:16:00,-22.15593066,20.88284761,-42.14223538,-66.14794207,111.6548411,-127.4696568,-99.9065481,12.14,29.25
89,178,2023-04-01 03:18:00,-20.45254963,20.55214805,-42.14223538,-64.49647356,113.8478614,-127.4696568,-99.46128894,12.14,29.25
90,180,2023-04-01 03:20:00,-20.45254963,20.55214805,-42.14223538,-61.02116939,113.8478614,-128.4229402,-99.46128894,12.14,29.0
91,182,2023-04-01 03:22:00,-22.15593066,21.41585715,-42.14223538,-59.39811424,113.8478614,-128.4229402,-97.21835797,12.14,29.25
92,184,2023-04-01 03:24:00,-24.47205489,20.55214805,-42.14223538,-63.64789181,110.8034316,-128.4229402,-97.21835797,12.14,29.25
93,186,2023-04-01 03:26:00,-24.47205489,20.88284761,-42.14223538,-66.14794207,110.8034316,-127.0995252,-97.21835797,12.14,29.25
94,188,2023-04-01 03:28:00,-24.47205489,20.88284761,-42.14223538,-66.14794207,113.8478614,-128.4229402,-97.21835797,12.14,29.25
95,190,2023-04-01 03:30:00,-24.47205489,20.04705638,-42.14223538,-66.86672265,113.8478614,-128.4229402,-97.21835797,12.14,29.25
96,192,2023-04-01 03:32:00,-22.86215911,20.88284761,-42.14223538,-68.52096795,113.8478614,-128.4229402,-97.21835797,12.14,29.25
97,194,2023-04-01 03:34:00,-22.86215911,20.04705638,-43.84528447,-66.86672265,111.6548411,-128.4229402,-99.9065481,12.14,29.25
98,196,2023-04-01 03:36:00,-22.86215911,20.04705638,-43.84528447,-66.14794207,113.8478614,-127.4696568,-99.9065481,12.14,29.25
99,197,2023-04-01 03:38:00,-22.15593066,20.88284761,-43.84528447,-66.86672265,111.6548411,-127.4696568,-97.21835797,12.14,29.0
100,199,2023-04-01 03:40:00,-22.86215911,20.04705638,-43.84528447,-66.14794207,113.8478614,-127.4696568,-97.21835797,12.14,29.0
101,201,2023-04-01 03:42:00,-22.86215911,20.04705638,-43.84528447,-66.14794207,113.8478614,-127.4696568,-97.21835797,12.14,29.0
102,203,2023-04-01 03:44:00,-22.86215911,20.04705638,-43.84528447,-66.14794207,115.9691332,-127.4696568,-99.46128894,12.14,29.0
103,205,2023-04-01 03:46:00,-22.86215911,20.04705638,-43.84528447,-66.86672265,117.0871471,-127.4696568,-99.46128894,12.14,29.0
104,207,2023-04-01 03:48:00,-22.86215911,20.04705638,-43.84528447,-66.86672265,117.0871471,-128.6673667,-101.9936801,12.14,29.0
105,209,2023-04-01 03:50:00,-22.86215911,20.04705638,-42.14223538,-66.86672265,117.0871471,-127.4696568,-99.46128894,12.14,29.0
106,211,2023-04-01 03:52:00,-22.86215911,20.04705638,-42.14223538,-67.84259153,117.0871471,-127.4696568,-99.9065481,12.14,29.0
107,213,2023-04-01 03:54:00,-22.86215911,20.04705638,-42.14223538,-66.14794207,117.0871471,-127.4696568,-99.9065481,12.14,29.0
108,215,2023-04-01 03:56:00,-22.86215911,20.04705638,-42.14223538,-66.14794207,117.0871471,-127.4696568,-99.9065481,12.14,29.0
109,217,2023-04-01 03:58:00,-22.86215911,20.04705638,-40.23340693,-66.14794207,117.0871471,-127.4696568,-97.21835797,12.14,29.0
110,219,2023-04-01 04:00:00,-20.45254963,20.04705638,-38.71291394,-66.14794207,117.0871471,-127.4696568,-97.21835797,12.14,29.0
111,221,2023-04-01 04:02:00,-20.45254963,20.04705638,-38.71291394,-64.49647356,117.0871471,-128.4229402,-97.21835797,12.14,29.0
112,223,2023-04-01 04:04:00,-18.80831023,20.04705638,-42.14223538,-63.64789181,117.0871471,-128.4229402,-97.21835797,12.14,29.0
113,225,2023-04-01 04:06:00,-18.25856857,20.04705638,-40.60539139,-63.64789181,117.0871471,-128.4229402,-97.21835797,12.14,29.25
114,227,2023-04-01 04:08:00,-18.25856857,20.04705638,-42.14223538,-63.64789181,117.0871471,-127.4696568,-97.21835797,12.14,29.0
115,229,2023-04-01 04:10:00,-19.86245461,20.04705638,-40.60539139,-66.14794207,117.0871471,-127.4696568,-99.9065481,12.14,29.0
116,231,2023-04-01 04:12:00,-20.45254963,20.04705638,-42.14223538,-66.14794207,117.0871471,-127.4696568,-99.46128894,12.14,29.0
117,233,2023-04-01 04:14:00,-22.86215911,20.04705638,-38.71291394,-68.52096795,117.0871471,-127.4696568,-99.46128894,12.14,29.0
118,236,2023-04-01 04:18:00,-22.86215911,20.04705638,-43.84528447,-64.49647356,117.0871471,-127.4696568,-101.9936801,12.14,29.0
119,238,2023-04-01 04:20:00,-22.86215911,20.88284761,-43.84528447,-66.14794207,117.0871471,-127.0995252,-99.46128894,12.14,29.0
120,240,2023-04-01 04:22:00,-22.86215911,20.88284761,-42.14223538,-66.14794207,117.0871471,-127.0995252,-101.9936801,12.14,29.0
121,242,2023-04-01 04:24:00,-24.47205489,20.88284761,-40.60539139,-68.52096795,113.8478614,-127.0995252,-99.46128894,12.14,29.0
122,245,2023-04-01 04:28:00,-24.47205489,20.04705638,-43.84528447,-68.52096795,115.9691332,-127.0995252,-99.46128894,12.14,29.0
123,247,2023-04-01 04:30:00,-22.86215911,20.04705638,-47.28337419,-66.86672265,117.0871471,-127.0995252,-99.46128894,12.14,29.0
124,249,2023-04-01 04:32:00,-24.47205489,20.88284761,-45.58231463,-66.14794207,117.0871471,-127.4696568,-101.9936801,12.14,29.0
125,251,2023-04-01 04:34:00,-24.47205489,20.55214805,-43.84528447,-66.14794207,115.9691332,-127.6904807,-101.4540365,12.14,29.0
126,252,2023-04-01 04:36:00,-25.21632773,20.88284761,-43.84528447,-66.86672265,113.8478614,-126.5034832,-101.4540365,12.14,29.0
127,254,2023-04-01 04:38:00,-26.91285931,20.88284761,-43.84528447,-68.52096795,113.8478614,-127.4696568,-99.46128894,12.14,29.0
128,256,2023-04-01 04:40:00,-25.21632773,20.88284761,-43.84528447,-69.19734599,113.8478614,-127.4696568,-99.46128894,12.14,29.0
129,258,2023-04-01 04:42:00,-26.91285931,21.20464127,-43.84528447,-69.19734599,113.8478614,-127.4696568,-99.46128894,12.14,29.0
130,260,2023-04-01 04:44:00,-25.21632773,20.35825215,-45.58231463,-69.19734599,113.8478614,-127.4696568,-99.46128894,12.14,29.0
131,262,2023-04-01 04:46:00,-25.21632773,19.45185516,-45.58231463,-69.19734599,117.0871471,-127.4696568,-99.46128894,12.14,29.0
132,264,2023-04-01 04:48:00,-25.21632773,19.45185516,-45.58231463,-69.19734599,119.3138342,-127.4696568,-99.46128894,12.14,29.0
133,266,2023-04-01 04:50:00,-25.21632773,19.45185516,-43.84528447,-69.19734599,120.5129175,-127.4696568,-99.46128894,12.14,29.0
134,268,2023-04-01 04:52:00,-25.21632773,20.35825215,-43.84528447,-69.19734599,120.5129175,-127.4696568,-99.46128894,12.14,29.0
135,270,2023-04-01 04:54:00,-25.21632773,20.35825215,-43.84528447,-69.19734599,119.3138342,-127.4696568,-99.46128894,12.14,29.0
136,272,2023-04-01 04:56:00,-25.21632773,20.04705638,-43.84528447,-69.19734599,119.3138342,-127.4696568,-99.46128894,12.14,29.0
137,274,2023-04-01 04:58:00,-25.21632773,20.04705638,-43.84528447,-70.84554317,117.0871471,-126.5034832,-99.46128894,12.14,29.0
138,276,2023-04-01 05:00:00,-25.21632773,20.04705638,-43.84528447,-69.19734599,117.0871471,-126.5034832,-99.46128894,12.14,28.75
139,278,2023-04-01 05:02:00,-25.21632773,20.04705638,-45.58231463,-69.19734599,117.0871471,-126.5034832,-99.46128894,12.14,28.75
140,280,2023-04-01 05:04:00,-25.21632773,20.04705638,-47.28337419,-69.19734599,117.0871471,-127.6904807,-99.46128894,12.14,29.0
141,282,2023-04-01 05:06:00,-25.21632773,20.04705638,-47.28337419,-69.19734599,117.0871471,-127.6904807,-99.46128894,12.14,29.0
142,284,2023-04-01 05:08:00,-25.21632773,20.04705638,-47.28337419,-69.19734599,117.0871471,-127.6904807,-101.4540365,12.14,29.0
143,286,2023-04-01 05:10:00,-26.91285931,20.35825215,-43.84528447,-68.52096795,117.0871471,-127.6904807,-101.4540365,12.14,29.0
144,288,2023-04-01 05:12:00,-26.91285931,20.35825215,-43.84528447,-68.52096795,117.0871471,-126.5034832,-101.4540365,12.14,28.75
145,290,2023-04-01 05:14:00,-27.73703975,19.45185516,-43.84528447,-69.19734599,119.3138342,-126.5034832,-101.4540365,12.14,29.0
146,291,2023-04-01 05:16:00,-27.73703975,19.45185516,-43.84528447,-69.19734599,119.3138342,-127.4696568,-101.4540365,12.14,29.0
147,293,2023-04-01 05:18:00,-26.91285931,20.35825215,-45.58231463,-69.19734599,120.5129175,-127.4696568,-101.4540365,12.14,29.0
148,295,2023-04-01 05:20:00,-25.21632773,20.35825215,-45.54837915,-71.40762148,120.5129175,-127.4696568,-101.4540365,12.14,28.75
149,297,2023-04-01 05:22:00,-24.47205489,20.35825215,-47.28337419,-71.40762148,120.5129175,-127.4696568,-101.4540365,12.14,28.75
150,299,2023-04-01 05:24:00,-24.47205489,20.35825215,-47.28337419,-70.84554317,120.5129175,-127.6904807,-101.4540365,12.14,29.0
151,301,2023-04-01 05:26:00,-24.47205489,20.04705638,-47.28337419,-71.40762148,122.5770286,-126.8058141,-100.9866189,12.14,28.75
152,303,2023-04-01 05:28:00,-24.47205489,20.04705638,-48.79546056,-69.19734599,120.5129175,-126.8058141,-100.9866189,12.14,28.75
153,305,2023-04-01 05:30:00,-24.47205489,20.04705638,-48.79546056,-66.86672265,120.5129175,-126.8058141,-101.4540365,12.14,28.75
154,307,2023-04-01 05:32:00,-24.47205489,20.04705638,-47.28337419,-66.86672265,120.5129175,-126.8058141,-101.4540365,12.14,29.0
155,309,2023-04-01 05:34:00,-24.47205489,20.04705638,-47.28337419,-66.86672265,120.5129175,-127.6904807,-99.03113647,12.14,28.75
156,310,2023-04-01 05:36:00,-24.47205489,20.04705638,-47.28337419,-66.86672265,120.5129175,-127.6904807,-99.03113647,12.14,28.75
157,312,2023-04-01 05:38:00,-26.91285931,20.04705638,-47.28337419,-66.86672265,120.5129175,-127.6904807,-101.4540365,12.14,28.75
158,314,2023-04-01 05:40:00,-27.73703975,20.04705638,-47.28337419,-69.19734599,119.3138342,-126.5034832,-99.03113647,12.14,29.0
159,316,2023-04-01 05:42:00,-26.91285931,20.04705638,-48.79546056,-71.40762148,122.5770286,-126.8058141,-101.4540365,12.14,28.75
160,318,2023-04-01 05:44:00,-26.91285931,20.35825215,-48.79546056,-73.56434404,120.5129175,-126.8058141,-101.4540365,12.14,28.75
161,320,2023-04-01 05:46:00,-26.91285931,20.35825215,-48.79546056,-71.40762148,120.5129175,-126.8058141,-103.411587,12.14,28.75
162,322,2023-04-01 05:48:00,-25.21632773,19.45185516,-48.79546056,-71.40762148,117.0871471,-126.8058141,-101.4540365,12.14,28.75
163,324,2023-04-01 05:50:00,-26.91285931,19.45185516,-47.28337419,-71.40762148,119.3138342,-127.6904807,-101.4540365,12.14,28.75
164,326,2023-04-01 05:52:00,-26.91285931,19.45185516,-47.28337419,-70.84554317,117.0871471,-127.6904807,-99.03113647,12.14,28.75
165,328,2023-04-01 05:54:00,-25.21632773,19.45185516,-47.28337419,-68.52096795,120.5129175,-126.8058141,-101.4540365,12.14,28.75
166,330,2023-04-01 05:56:00,-26.91285931,19.45185516,-47.28337419,-69.19734599,117.0871471,-126.8058141,-101.4540365,12.14,28.75
167,332,2023-04-01 05:58:00,-26.91285931,19.45185516,-47.28337419,-69.19734599,117.0871471,-126.8058141,-101.4540365,12.14,28.75
168,334,2023-04-01 06:00:00,-26.91285931,19.45185516,-47.28337419,-69.19734599,119.3138342,-127.6904807,-101.4540365,12.14,28.75
169,336,2023-04-01 06:02:00,-26.91285931,19.45185516,-47.28337419,-70.84554317,117.0871471,-126.5034832,-99.46128894,12.14,28.75
170,338,2023-04-01 06:04:00,-27.73703975,19.45185516,-47.28337419,-71.40762148,119.3138342,-127.6904807,-99.46128894,12.14,28.75
171,340,2023-04-01 06:06:00,-27.73703975,19.76054567,-47.28337419,-73.56434404,119.3138342,-126.8058141,-101.9936801,12.14,28.75
172,342,2023-04-01 06:08:00,-27.73703975,19.76054567,-47.28337419,-71.40762148,119.3138342,-126.8058141,-99.46128894,12.14,28.75
173,344,2023-04-01 06:10:00,-26.91285931,19.76054567,-48.79546056,-71.40762148,119.3138342,-128.0129366,-101.4540365,12.14,28.75
174,346,2023-04-01 06:12:00,-26.91285931,19.45185516,-50.51585509,-71.40762148,120.5129175,-126.8058141,-99.03113647,12.14,28.75
175,348,2023-04-01 06:14:00,-26.91285931,19.76054567,-47.28337419,-71.40762148,120.5129175,-126.8058141,-101.4540365,12.14,28.75
176,350,2023-04-01 06:16:00,-25.21632773,19.76054567,-47.28337419,-71.40762148,122.5770286,-126.8058141,-99.46128894,12.14,28.75
177,352,2023-04-01 06:18:00,-25.21632773,19.45185516,-47.28337419,-69.19734599,120.5129175,-126.8058141,-99.46128894,12.14,28.75
178,354,2023-04-01 06:20:00,-25.21632773,19.45185516,-45.58231463,-69.19734599,120.5129175,-126.8058141,-99.46128894,12.14,28.75
179,356,2023-04-01 06:22:00,-25.21632773,19.45185516,-47.28337419,-70.84554317,120.5129175,-126.8058141,-99.46128894,12.14,28.75
180,358,2023-04-01 06:24:00,-25.21632773,18.58640444,-47.28337419,-64.49647356,120.5129175,-126.8058141,-99.46128894,12.14,28.75
181,360,2023-04-01 06:26:00,-23.56935375,18.8834478,-43.84528447,-66.14794207,118.2276652,-126.8058141,-99.46128894,12.14,28.5
182,362,2023-04-01 06:28:00,-22.86215911,18.58640444,-43.84528447,-68.52096795,121.8826323,-126.8058141,-101.9936801,12.14,28.75
183,364,2023-04-01 06:30:00,-22.86215911,19.45185516,-43.84528447,-66.14794207,120.5129175,-127.6904807,-101.9936801,12.14,28.75
184,366,2023-04-01 06:32:00,-21.11501713,20.04705638,-42.14223538,-66.14794207,118.2276652,-127.6904807,-101.9936801,12.14,28.5
185,368,2023-04-01 06:34:00,-22.86215911,19.15230388,-42.14223538,-66.14794207,118.2276652,-127.6904807,-101.9936801,12.14,28.75
186,370,2023-04-01 06:36:00,-23.56935375,19.15230388,-43.84528447,-67.84259153,115.9755262,-127.6904807,-102.5514253,12.14,28.75
187,372,2023-04-01 06:38:00,-21.11501713,19.15230388,-45.58231463,-67.84259153,111.6548411,-127.4696568,-99.9065481,12.14,28.5
188,374,2023-04-01 06:40:00,-21.11501713,19.45185516,-43.84528447,-65.33967215,112.6315816,-127.4696568,-99.9065481,12.14,28.5
189,376,2023-04-01 06:42:00,-18.80831023,19.45185516,-43.84528447,-65.33967215,111.6548411,-127.4696568,-99.9065481,12.14,28.5
190,379,2023-04-01 06:46:00,-20.45254963,19.45185516,-45.58231463,-68.52096795,111.6548411,-127.4696568,-99.46128894,12.14,28.5
191,381,2023-04-01 06:48:00,-20.45254963,19.45185516,-47.28337419,-68.52096795,111.6548411,-126.5034832,-102.5514253,12.14,28.75
